x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,etiqueta
-0.0,0.0,0.0,0.1584511115262402,-0.024931161850018334,-0.11305019612893083,0.27609596907637834,-0.12300625282768311,-0.17766307720473165,0.2179464276805667,-0.24730522678684572,-0.237165876190144,0.1216355825837546,-0.3499053382158508,-0.28827148468737723,0.3405122928474709,-0.3673508318876432,-0.09877705046917613,0.47430382318935915,-0.4878666850462543,-0.19537593136731263,0.5615531016957992,-0.5805204826340327,-0.260252750691249,0.6298760661758418,-0.6695620587719838,-0.2999826827552364,0.21540886135109555,-0.4345564430073895,-0.10300995679893198,0.2805924058222437,-0.6355649328384433,-0.1987543232116201,0.31856348248085264,-0.7740561421297663,-0.24801789630199655,0.3458263086826902,-0.8989458341808594,-0.26888761859145427,0.08359308212511275,-0.43256870517628493,-0.12176725991420377,0.07415272824171605,-0.505820195567834,-0.2548697048526712,0.08297899348490924,-0.34310837420676055,-0.2606705302723253,0.08811796072183532,-0.22969752235966573,-0.22537016823376527,-0.04456440836393109,-0.3848508686599573,-0.14985829543581222,-0.04639816300747716,-0.430310450589147,-0.24983069192577131,-0.018919434077436865,-0.31524706337267105,-0.23708028466016418,0.0017929714409453503,-0.2296309925439449,-0.20151919383419503,V
-0.0,0.0,0.0,0.13380544951953313,-0.11101943075222652,-0.08288994507411777,0.1904539699597197,-0.27401251713916863,-0.12266047157682694,0.09165565865881396,-0.36275243496092585,-0.16289372813387418,-0.028515270997378026,-0.39017848832343216,-0.19850563463904483,0.08127276504296986,-0.5079203083377807,-0.05597700755276129,0.10828430716729383,-0.7074824576233153,-0.12824682275342505,0.12078256084293677,-0.8354171522248072,-0.17770555274132077,0.12460519625517659,-0.9436089887541258,-0.21030583615633036,-0.0473583750841733,-0.4885883515389439,-0.06722442824427856,-0.0812322223608546,-0.7204974123112394,-0.14217389853157006,-0.09414447156541625,-0.8587147545817013,-0.1872503989686854,-0.10640795851624692,-0.9721664289012969,-0.20873375597086477,-0.14915787628013608,-0.41379995609792813,-0.09005782780018734,-0.17920214590448932,-0.5090065903968436,-0.2052218750599458,-0.09561376692763268,-0.3977605252581939,-0.22232085041691743,-0.03619255546615025,-0.31310922981891415,-0.20225006075794782,-0.22727719818542816,-0.30654147399601456,-0.11957539958653239,-0.2087473676413572,-0.3495678119252454,-0.21643464405593696,-0.11510860851391103,-0.2697098357423135,-0.21890233271769935,-0.04753585841077183,-0.20179552742683338,-0.1978223793695612,V
-0.0,0.0,0.0,0.027680503747269984,-0.12107424875218598,-0.09868067963280822,-0.03085131740899717,-0.26332100724127155,-0.1349107387014118,-0.16692109210473785,-0.3183913756211104,-0.16472447980450658,-0.29644081955852025,-0.33662959548175037,-0.18678462043448332,-0.1218812194957004,-0.4825584528735859,-0.07272526098658814,-0.17249735061329258,-0.6902032380073518,-0.13730916783838415,-0.20771756799507027,-0.820498427051615,-0.17676351997103182,-0.24678895878435275,-0.9197226372215916,-0.19825169562387018,-0.2230562483083822,-0.4227304895784653,-0.06864721552310955,-0.375838469567668,-0.617285888417041,-0.13068291193528,-0.47600664144727806,-0.728057095430193,-0.16471058172431108,-0.5567970124315308,-0.8114989534367197,-0.17733171041421303,-0.2820167662615878,-0.3173282699265685,-0.07668249572122333,-0.32322917938298174,-0.38511676636487674,-0.18071377489491197,-0.21755535739634158,-0.3183885036930995,-0.1985866855125679,-0.14634606647673046,-0.2639281328227717,-0.1772922008902919,-0.3083827065031917,-0.2029356847743251,-0.09115145879242596,-0.32502733453813704,-0.27500827725400695,-0.1692939018937611,-0.24450708889707912,-0.24541002306369997,-0.16127743795256144,-0.18874790909760206,-0.21248451719015884,-0.133950919846404,V
-0.0,0.0,0.0,0.13870369393119628,-0.0970302517019711,-0.12874026809749914,0.1348742391124008,-0.24909616900300233,-0.1800125783935127,-0.02651209365097574,-0.31497474544167264,-0.21935815924797972,-0.16975621992087364,-0.34194363567354613,-0.25224545046073155,0.07976436745320745,-0.4919826770399104,-0.10781102924631127,0.04096759725517181,-0.6670761210673416,-0.17126856701752227,0.01446149956897736,-0.7628792146333149,-0.22343447992875046,-0.023708572390117946,-0.8548005205998817,-0.2698733710629895,-0.06490646266060951,-0.48933073376872355,-0.0967077916037918,-0.15596377408605164,-0.7141327884449263,-0.1585933133246092,-0.22098526333502538,-0.8246440795548384,-0.21099856116604732,-0.28453548672982554,-0.9240885465163478,-0.2551468498506791,-0.16921274567309758,-0.4294655343930672,-0.09835099774403364,-0.29501297949180494,-0.6067772455509841,-0.21071123453372792,-0.23797063236746122,-0.48728793255159747,-0.2463135225833066,-0.18686678469794277,-0.3895317374016261,-0.2551249046195796,-0.25026283984628644,-0.3240991648072472,-0.10922342671826217,-0.29969021576295646,-0.3863199149230217,-0.23727177558013648,-0.23807855973352443,-0.29056205491535836,-0.2751111580896141,-0.18841172896734887,-0.2003538680383833,-0.2853930384965687,V
-0.0,0.0,0.0,-0.004124451692779734,-0.08262074653473873,-0.18608475772289762,-0.12378602133928557,-0.15970784441931488,-0.2391566656578786,-0.30739812960659074,-0.17227186110876683,-0.25533947748102503,-0.45413377674056554,-0.1926639012546567,-0.25504535491689734,-0.21607104627097207,-0.3639567124161704,-0.17835917626959527,-0.37163341645262754,-0.4685175306566933,-0.24453961698377621,-0.4711872651469528,-0.5239306421892479,-0.2936187215503923,-0.5724717412195558,-0.5731965899863761,-0.33217895981912565,-0.31117540898678625,-0.3161640588867316,-0.11703709930604674,-0.493458978224002,-0.4794610094579925,-0.1724371790059336,-0.6163162750142871,-0.5831412404869742,-0.20804265568867672,-0.7115532942786073,-0.661665293668805,-0.23641266581009523,-0.3583692203092242,-0.24390532472318158,-0.07254772576160202,-0.5402918882249547,-0.32640066534224016,-0.16044551182661884,-0.48413234763971336,-0.267388322513675,-0.1917216528103111,-0.4177825360040044,-0.22043536949114412,-0.1970752798312592,-0.37676669288071446,-0.16384611092730125,-0.0434457878531485,-0.47611992643247375,-0.19084729595813646,-0.13696388693701553,-0.5053144064415507,-0.1665878798111382,-0.1856800951855404,-0.524777764941593,-0.14305335533411317,-0.20910725452264425,V
-0.0,0.0,0.0,0.1598944488353441,-0.07786404040027192,-0.0714269297046461,0.27991207159772125,-0.22890987313967562,-0.10319425923053117,0.25503541883784553,-0.3951744913812594,-0.14148295380193254,0.15746088637789732,-0.5027979323442153,-0.17356527574633446,0.26522345402861147,-0.4279433003393105,0.0038321409950457593,0.3785339148371189,-0.6045056026316439,-0.05595870116413195,0.4454367855379935,-0.7087143060471903,-0.10256648432856624,0.4796286844386169,-0.806012407200536,-0.13488088553576189,0.14749745275126383,-0.4722878393890269,-0.0064015877039412875,0.19500149537816114,-0.7074660264786297,-0.0666307031148161,0.23401202690416895,-0.8491781037435668,-0.10663639997279345,0.253676047186399,-0.9588153818634791,-0.1277557301488842,0.03168401046372074,-0.46306477911114813,-0.03203219194678895,0.07135142489359932,-0.6309549714684626,-0.13008317062231414,0.11181925074495812,-0.49199367705484404,-0.13875418009987026,0.11571169507294814,-0.37083951625709777,-0.1148890552116161,-0.08429648487473532,-0.42090960920385057,-0.06481159280791968,-0.030036715843314073,-0.548806290916567,-0.14400331709679484,0.023885988479332,-0.46297962895992684,-0.13956915003237497,0.04203163002688154,-0.36557954606826465,-0.11655712322166924,V
-0.0,0.0,0.0,0.05045431519268277,-0.02822184762622523,-0.14726403850780073,-0.007386660584875214,-0.08287599310606944,-0.21321284212536268,-0.16293502544049332,-0.10692256398593204,-0.2563812563192553,-0.2811743829531966,-0.1575748347587392,-0.2887879945582963,-0.008946495731762438,-0.37164356834138673,-0.20339906207450725,-0.018881477072525864,-0.5918347097000597,-0.2909864958884177,-0.025159978012225977,-0.72570527421709,-0.3466150292504884,-0.042564013318790776,-0.8439139300137067,-0.38910886721822424,-0.11166453018827491,-0.36326223481187064,-0.18050689921571034,-0.19054307370710039,-0.6142006357466485,-0.28075154625017595,-0.2612935336937717,-0.7460477848680256,-0.3459157428421242,-0.322970461766302,-0.8615412968085899,-0.3917099369684601,-0.18712703786824555,-0.28973749883739863,-0.1640045310174273,-0.3089358614795321,-0.34675250446738315,-0.29697938079970293,-0.2808724566381107,-0.21568347154325077,-0.33553574325951435,-0.23941033730815084,-0.13148323196883582,-0.3371627384103409,-0.23644762170579847,-0.19344321106671514,-0.1557919492354188,-0.3269494668276827,-0.1705006488346996,-0.2849554492139611,-0.3191268732026602,-0.06367919687802198,-0.3189351217376839,-0.2891275371922913,-0.004094606420931114,-0.3232209285779933,V
-0.0,0.0,0.0,0.12356477810992553,-0.12139795502818602,-0.08656930214227286,0.15711014029278889,-0.28654734989690894,-0.12488264696938253,0.04564697052520263,-0.36097659878950933,-0.1626543551627538,-0.08073072297194435,-0.37762621656116746,-0.1945048904908967,0.02963459556187417,-0.5107226537310606,-0.05361447105258117,0.020198226623028104,-0.7178849573167398,-0.12459505806527614,0.011876538765212545,-0.8436138325472284,-0.17127818026095395,-0.001120962643741258,-0.9510312413555699,-0.200693592741575,-0.1035000050644881,-0.47586693386272433,-0.06138210730130079,-0.18295869183416344,-0.702204833563458,-0.13388062999238046,-0.22523068538292537,-0.8346490548918933,-0.17968135065393256,-0.2646802424336904,-0.9430920967161708,-0.20129994132323922,-0.20011731371881103,-0.38980280858919863,-0.0809563209167084,-0.2410161339549925,-0.4741909813261489,-0.19665057749684844,-0.1387615375879492,-0.3697339663553385,-0.2159427380822053,-0.07156975512527845,-0.2909514759841363,-0.19603735475221773,-0.27009882114536227,-0.275280438768109,-0.10708537978913335,-0.24331652913437382,-0.30965986605757223,-0.20519802629875575,-0.13780666104254755,-0.23797080074747323,-0.20985671370250336,-0.06720406904130624,-0.17638343643667162,-0.18905877562067522,V
-0.0,0.0,0.0,0.23638480046999033,-0.01681376401663654,0.01738322232177692,0.4037489597517116,-0.08153070255122971,-0.006392980532614284,0.5427455139422502,-0.10424476781849813,-0.04128231730706232,0.6553433773658375,-0.13137998848771357,-0.08998581651156858,0.3878228097075412,-0.3766811202856598,-0.03421958903245454,0.6144731801477047,-0.43017590715224774,-0.0791732477113567,0.7533958323734833,-0.4600593324361245,-0.12469657148526032,0.859545887690938,-0.4857592741983041,-0.15880426469063774,0.336994065859499,-0.35656121158030685,-0.07489865630623235,0.6012002687174905,-0.3858890284563964,-0.11013728175107176,0.7640622570743995,-0.37416572661987635,-0.14545388463666906,0.8741436993182548,-0.3765318146049841,-0.17656074311523065,0.29282384951657375,-0.2884407516504898,-0.11001349596009861,0.5671882133488615,-0.2437105006858452,-0.1405836364796191,0.5978533396289707,-0.14033580006315358,-0.13712881842650299,0.5614711652589743,-0.08351024769285162,-0.13340023706569468,0.2713946509221824,-0.18014619568290596,-0.14473424943490495,0.501235728810921,-0.14128980724460202,-0.16298668117861914,0.5210388075422197,-0.07939284122199874,-0.14170896185210233,0.4668578389568459,-0.042125305506269535,-0.12309466735955084,V
-0.0,0.0,0.0,0.08873656137767222,-0.15606944960646207,-0.09382180678198863,0.11435712249152633,-0.32521272586738736,-0.1110463246679791,0.02470422234984261,-0.4692721590906793,-0.12123074192986914,-0.047571706253052744,-0.5573964993868729,-0.1198274595434268,0.13671319385762853,-0.5338317407179742,0.001505363172471963,0.14487522665062036,-0.7440655723334046,-0.03604270429588636,0.13555429040889655,-0.8728207945581681,-0.06980850461223265,0.12245384217688222,-0.9816341615301705,-0.09705854691924236,0.00933932317876123,-0.5194133363916896,0.01798408589436189,-0.027237633944591833,-0.7431547233297356,-0.02242265353755457,-0.07457177645898948,-0.8817883932797682,-0.06361620065019677,-0.11071470410540431,-0.9897709263851477,-0.08997648346951055,-0.09319733006580269,-0.4483036810527805,0.01776333102165261,-0.1420965806931759,-0.5908866695527374,-0.06816423208705845,-0.11806526759736488,-0.5651546587837117,-0.1133319732261767,-0.0804211537049757,-0.5223478389013223,-0.12194178809778661,-0.177139751418384,-0.3466740038987673,0.010612333008511006,-0.18801413943263023,-0.41485945942896035,-0.07960192685411557,-0.17245284972546218,-0.42156208079611807,-0.11938614485370534,-0.14889523526522838,-0.41573233132341103,-0.12988382626527412,V
-0.0,0.0,0.0,0.09606890405045508,-0.0972039166318934,-0.16097707529793415,0.17989141193279165,-0.2358295725249707,-0.18663463919219836,0.18372037542370798,-0.412254789968067,-0.18680904020330896,0.18958330350976596,-0.5619323114946468,-0.17346696246661553,0.3904566934468547,-0.3479900751753777,-0.06207330748687223,0.5290357182527113,-0.5137723056395306,-0.09643656853791513,0.6007065447071867,-0.6240378430698017,-0.13326792048103056,0.6490439870635161,-0.7237166338899019,-0.16315246021110824,0.2814650189919183,-0.4171826381214089,-0.005134315080505776,0.41407816976516926,-0.6258452073976509,-0.03474186866654927,0.4546608474186009,-0.7669558681943695,-0.0793778497554216,0.4791411998322088,-0.8705211664588651,-0.1123236812539909,0.1600973348037454,-0.4282486569602978,0.03110143599363244,0.1997134975103921,-0.592706445362498,-0.057039375472367336,0.14148482685280342,-0.5303389305065844,-0.12556671448693724,0.10186613146729809,-0.4520815002274758,-0.14994570387828404,0.048129390237148725,-0.4116945465064277,0.05679739278533722,0.06696529536153256,-0.5312117735808775,-0.04226728393512151,0.03425239582740229,-0.5222364066492307,-0.10005334568386677,0.01017451588065213,-0.48518044706116004,-0.12427125856206875,V
